date,heure,repas (matin/midi/soir),aliments,poid aliments(gr),quantite,indice_yuka,bio/sain/transforme,niveau de faim,sasiete_apres_repas,remarques (digestion/envie de sucre),calories(kcal),Proteines(g),glucides(g),dont_sucres(g),lipides(g),dont_acides_gras_satures(g),fibres(g),sel(g),eau(ml),calories,Protéines,glucides,dont_sucres,lipides,dont_acides_gras_satures,fibres,sel,eau
3/24/2025,11:00:00 PM,soir,steak,125,2,,,,,,,,,,,,,,,550,50,0,0,40,15,0,0.5,0
3/24/2025,11:00:00 PM,soir,oeuf,,4,,,,,,,,,,,,,,,280,24,2,2,20,6,0,0.8,160
3/24/2025,11:00:00 PM,soir,carotte,300,,,,,,,,,,,,,,,,123,2.1,28.5,14.1,0.3,0.1,8.4,0.1,268
3/24/2025,11:00:00 PM,soir,pates,400,,,,,,,,,,,,,,,,560,20,112,4,2,0.4,8,0.02,0
3/26/2025,4:00:00 PM,aprem,steak,125,2,,,,,,,,,,,,,,,500,50,0,0,30,15,0,2,0
3/26/2025,4:00:00 PM,aprem,oeuf,,2,,,,,,,,,,,,,,,156,13,1.1,1.1,10.6,3.3,0,0.33,124
3/26/2025,4:00:00 PM,aprem,petit poid carotte,350,,,,,,,,,,,,,,,,245,14,42,18,1,0.1,16,0.1,308
3/26/2025,4:00:00 PM,aprem,pates carbo,350,,,,,,,,,,,,,,,,910,28,122,5,32,14,6,1.2,0
3/27/2025,5:00:00 PM,aprem,fromage de tete,100,,,,,,,,,,,,,,,,200,15,0.5,0.5,15,5,0,2,70
3/27/2025,5:00:00 PM,aprem,beurre,13,,,,,,,,,,,,,,,,97,0.11,0.01,0.01,10.8,6.8,0,0.07,1.2
